No,gene,CNS_assoc_HPOs,CNS_HP_Count,pvalue_CNS_more,pvalue_CNS_less,DownGeneDrugs,UpGeneDrugs
1885,COX4I2,HP:0012759,1,,1.28973E-07,,
1886,COX5A,,,,3.76725E-05,,
1887,COX5B,,,,6.44082E-07,,
1888,COX6A1P2,,,,1.65449E-07,,
1889,COX6A2,,,,8.27821E-11,,
1890,COX6B1,"HP:0002011, HP:0002118, HP:0012443, HP:0012639",4,,4.06874E-07,,
1891,COX6C,,,,1.84294E-07,,
1892,COX7A1,,,,1.58109E-05,,"cytochalasin-b, esmolol"
1893,COX7A2L,,,,4.44677E-05,,
1894,COX7B,"HP:0001273, HP:0002011, HP:0002060, HP:0002079, HP:0002118, HP:0002500, HP:0002977, HP:0007364, HP:0007370, HP:0007375, HP:0012443, HP:0012639, HP:0012759, HP:0030047, HP:0100547",15,,4.745E-07,,decitabine
1895,COX7B2,,,,0.000167178,,
1896,COX7C,,,,1.27404E-09,,
1897,COX8A,"HP:0002011, HP:0002060, HP:0002118, HP:0002977, HP:0007364, HP:0007367, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",11,,5.21727E-06,,
1898,COX8C,,,,9.54133E-05,,
1899,CP,"HP:0001317, HP:0002011, HP:0002060, HP:0010662, HP:0010663, HP:0010994, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0100321, HP:0100547",12,,5.31073E-09,,"benzo(a)pyrene, dacarbazine, estradiol-benzoate, ethosuximide, fumonisin-b1, menadione, metrifonate, prostaglandin-e1, ritodrine"
1900,CPA1,,,,9.25244E-27,,
1901,CPA2,,,,2.21786E-12,,
1902,CPA3,,,,7.48526E-09,,"beclometasone, flecainide, floxuridine, fluconazole, isoxsuprine, mepireserpate, mestinon, mometasone, valproic-acid"
1903,CPA4,,,,1.23926E-08,,
1904,CPA5,,,,1.3984E-05,,
1905,CPAMD8,,,,9.58402E-07,,
1906,CPB1,,,,8.5605E-09,,"CD-437, etidronic-acid, isosorbide, thiotepa, zonisamide"
1907,CPE,"HP:0002011, HP:0012443, HP:0012503, HP:0012639, HP:0012759",5,6.94633E-08,,"alpha-estradiol, CD-437, cortisol, diflunisal, floxuridine, hexachlorophene, mepireserpate, ribavirin",
1908,CPEB2,,,0.003205384,,,
1909,CPEB3,,,0.019184481,,,
1910,CPEB4,,,0.000696938,,,
1911,CPLX1,"HP:0001272, HP:0001273, HP:0001317, HP:0002011, HP:0002059, HP:0002060, HP:0002118, HP:0002120, HP:0002143, HP:0002500, HP:0002518, HP:0002538, HP:0002977, HP:0007343, HP:0007360, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0007375, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0025100, HP:0031938, HP:0100547",29,0.038205364,,,
1912,CPLX2,,,1.73209E-09,,,
1913,CPM,,,,9.79493E-05,,"acyclovir, doxorubicin, estradiol, TTNPB"
1914,CPN1,,,,2.79611E-09,,
1915,CPN2,,,,1.83354E-07,,
1916,CPNE1,,,,3.49071E-06,,
1917,CPNE3,,,,0.00099114,,
1918,CPNE4,,,0.003822574,,,
1919,CPNE5,,,0.024260569,,,
1920,CPNE7,,,0.046697342,,,
1921,CPNE9,,,0.022349209,,,
1922,CPS1,"HP:0002011, HP:0002060, HP:0012443, HP:0012639, HP:0012759, HP:0100547, HP:0100659",7,,2.59701E-10,,"benzo(a)pyrene, dichloroacetic-acid, exemestane, prostaglandin-e1, reserpine, vidarabine"
1923,CPSF1,,,,4.18552E-10,,
1924,CPSF2,,,,0.000267475,,
1925,CPSF3L,,,,0.000268841,,
1926,CPSF7,,,,1.22416E-05,,
1927,CPT1C,"HP:0002011, HP:0002062, HP:0002314, HP:0002492, HP:0007367, HP:0007372, HP:0012639",7,5.92556E-05,,,
1928,CPT2,"HP:0001273, HP:0001317, HP:0001320, HP:0001321, HP:0002011, HP:0002060, HP:0002118, HP:0002334, HP:0002500, HP:0002538, HP:0002977, HP:0006817, HP:0007360, HP:0007364, HP:0007370, HP:0010950, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0100547, HP:0100659",22,,4.18283E-06,,
1929,CPXCR1,,,,0.00011942,,
1930,CPXM1,,,,1.45298E-05,,
1931,CPZ,,,,1.00777E-13,,
1932,CR1,,,,2.67581E-10,,
1933,CR1L,,,,1.7652E-06,,
1934,CR2,"HP:0002011, HP:0012639",2,,1.7273E-10,,
1935,CRABP1,,,,3.60184E-06,,"acetazolamide, aspirin, flurbiprofen, vidarabine, vincristine, zonisamide"
1936,CRABP2,,,,1.24721E-10,,"chlorpromazine, flurbiprofen, methotrexate, phensuximide, solanine, sulfasalazine, tianeptine"
1937,CRB1,"HP:0001317, HP:0002011, HP:0002334, HP:0002977, HP:0006817, HP:0007360, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759",11,0.025077435,,,
1938,CRB3,,,,4.08224E-09,,
1939,CREB1,,,0.033710724,,"AM-580, pseudoephedrine",
1940,CREB3L2,,,,4.84097E-05,,pyrimethamine
1941,CREB3L3,,,,2.51405E-07,,
1942,CREB3L4,,,,3.43107E-06,,
1943,CREG2,,,0.001255429,,,
1944,CRHBP,,,,1.05526E-05,,
1945,CRHR1,,,0.004893963,,,
1946,CRIP1,,,,2.53777E-07,,"digoxin, dimethadione, ethionamide, flutamide, idoxuridine, zonisamide"
1947,CRIP3,,,0.031309047,,,
1948,CRIPT,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",8,,5.14541E-06,,
1949,CRISP1,,,,1.81284E-07,,
1950,CRISP3,,,,7.08071E-07,,"androstenedione, BRD-A66861218, cyclosporin-a, cyproterone, heliotrine, ibuprofen, misoprostol, mometasone, trimethadione, warfarin, zidovudine"
1951,CRISPLD2,,,,2.97812E-10,,"busulfan, etoposide, flubendazole, hydrocortisone, indometacin, methimazole, parbendazole, phenytoin"
1952,CRKL,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",8,,0.000740299,,
1953,CRLF2,,,,0.000274139,,
1954,CRMP1,,,2.28782E-10,,,
1955,CRTAC1,,,0.003079488,,,
1956,CRTAP,,,,0.000113992,,
1957,CRTC2,,,,1.33088E-08,,
1958,CRX,"HP:0001317, HP:0002011, HP:0002334, HP:0002977, HP:0006817, HP:0007360, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759",11,,7.83062E-10,,
1959,CRY2,,,,0.000351428,,
1960,CRYAA,,,,1.51084E-11,,
1961,CRYAB,HP:0012639,1,,5.49379E-11,,"alpha-estradiol, aspirin, bupivacaine, cilostazol, esmolol, etoposide, flutamide, isosorbide, isoxsuprine, ketorolac, menadione, progesterone, zidovudine"
1962,CRYBA1,,,,6.37731E-09,,
1963,CRYBA2,,,,1.24577E-11,,
1964,CRYBA4,,,,3.39189E-09,,
1965,CRYBB1,,,,0.000433637,,
1966,CRYBB2,,,,2.12472E-09,,
1967,CRYBB3,,,,2.52336E-05,,
1968,CRYBG3,,,,9.74692E-06,,
1969,CRYGB,,,,2.36939E-06,,
1970,CRYGC,,,,2.13255E-12,,
1971,CRYGN,,,,2.91203E-07,,
1972,CRYZ,,,,0.000265293,,
1973,CSAD,,,0.043881259,,,
1974,CSDE1,,,,3.61275E-07,,
1975,CSF2RB,,,,2.67636E-06,,sparfloxacin
1976,CSF3,,,,8.12774E-06,,
1977,CSH1,,,,8.63437E-10,,
1978,CSH2,,,,1.6124E-07,,
1979,CSHL1,,,,0.000199008,,
1980,CSK,,,,0.0004128,,
1981,CSMD1,,,1.03545E-06,,,
1982,CSMD2,,,2.51795E-08,,,
1983,CSMD3,,,2.95641E-08,,,
1984,CSNK1A1,,,,0.000688664,,
1985,CSNK1A1L,,,,0.000520774,,
1986,CSNK1D,,,,0.000113317,,
1987,CSNK1G2,,,,0.000240679,,
1988,CSNK2A2,,,,0.000332258,,
1989,CSNK2B,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002079, HP:0002118, HP:0002500, HP:0002538, HP:0002977, HP:0006919, HP:0007343, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0012443, HP:0012444, HP:0012639, HP:0012703, HP:0012759, HP:0025100, HP:0030047, HP:0100547",23,,6.07171E-06,,
1990,CSPG5,,,1.41706E-06,,,
1991,CSPP1,"HP:0001273, HP:0001317, HP:0001320, HP:0001321, HP:0002011, HP:0002060, HP:0002079, HP:0002118, HP:0002143, HP:0002334, HP:0002363, HP:0002365, HP:0002414, HP:0002418, HP:0002500, HP:0002538, HP:0002977, HP:0006817, HP:0006872, HP:0007360, HP:0007361, HP:0007362, HP:0007364, HP:0007370, HP:0007375, HP:0010301, HP:0010651, HP:0010950, HP:0010951, HP:0011282, HP:0011283, HP:0011931, HP:0011932, HP:0012443, HP:0012639, HP:0012759, HP:0030047, HP:0100547, HP:0410043",39,0.00024178,,,
1992,CSRNP1,,,,0.000175691,,
1993,CSRNP2,,,0.001991817,,,
1994,CSRNP3,,,2.28763E-05,,,
1995,CSRP1,,,,2.1358E-06,,"fenoterol, heliotrine, ketoprofen, levodopa, mestinon, pyrimethamine"
1996,CSRP3,,,,6.86724E-13,,
1997,CST2,,,,8.40057E-08,,
1998,CST5,,,,8.75843E-07,,
1999,CST6,,,,4.56614E-10,,thiotepa
2000,CST7,,,,8.00249E-09,,"esmolol, fluorouracil, menadione, zidovudine"
2001,CSTA,,,,4.244E-11,,"BRD-A66861218, calcipotriol, clomifene, corynanthine, cyclopamine, decitabine, floxuridine, ifosfamide, lithocholic-acid, quercetin, thiotepa"
2002,CSTB,HP:0012759,1,,1.72966E-05,,
2003,CSTF2,,,0.006717254,,,
2004,CSTF3,,,1.76358E-05,,,
2005,CTAGE1,,,,8.53912E-08,,
2006,CTAGE9,,,,5.77371E-05,,
2007,CTBP1,"HP:0001272, HP:0001273, HP:0001317, HP:0002011, HP:0002060, HP:0002118, HP:0002143, HP:0002500, HP:0002518, HP:0002977, HP:0007360, HP:0007364, HP:0007370, HP:0007375, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759, HP:0031938, HP:0100547",21,,1.74427E-06,,
2008,CTBS,,,,0.000312331,,
2009,CTC1,"HP:0002011, HP:0002060, HP:0002062, HP:0012443, HP:0012639, HP:0012759, HP:0100547",7,,0.000110205,,
2010,CTCF,"HP:0002011, HP:0002060, HP:0002118, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",9,,0.000275373,,
2011,CTCFL,,,,6.99725E-08,,
2012,CTDNEP1,,,,4.93425E-06,,
2013,CTDSP1,,,,1.00461E-05,,
2014,CTDSP2,,,,0.000139062,,
2015,CTF1,,,,1.92709E-11,,
2016,CTGF,,,,8.48848E-06,,
2017,CTIF,,,4.61539E-08,,,
2018,CTNNA1,,,,0.000499319,,
2019,CTNNA2,"HP:0001273, HP:0001317, HP:0001321, HP:0002011, HP:0002060, HP:0002079, HP:0002363, HP:0002365, HP:0002500, HP:0002538, HP:0002977, HP:0007360, HP:0007362, HP:0007364, HP:0007370, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759, HP:0100547",21,1.15835E-08,,TTNPB,
2020,CTNNAL1,,,,2.14511E-05,,
2021,CTNND2,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",8,7.74894E-09,,androstenedione,
2022,CTRB1,,,,2.46766E-16,,
2023,CTRB2,,,,2.4331E-23,,
2024,CTRC,,,,2.03704E-17,,
2025,CTSC,"HP:0002011, HP:0002060, HP:0002118, HP:0007376, HP:0012443, HP:0012639, HP:0100547",7,,0.000201765,,tolmetin
2026,CTSE,,,,2.47876E-14,,"etretinate, methotrexate, warfarin"
2027,CTSF,"HP:0001272, HP:0001317, HP:0002011, HP:0002059, HP:0002060, HP:0002506, HP:0002977, HP:0007367, HP:0007369, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0100547",15,0.011089996,,,
2028,CTSH,,,,7.8277E-05,,"benzo(a)pyrene, fenoterol, methotrexate, methyldopa, pyrimethamine, quinidine, yohimbine"
2029,CTSL,,,,2.07523E-05,,
2030,CTSO,,,,0.000907695,,
2031,CTSV,,,,0.000178398,,
2032,CTSW,,,,3.32237E-19,,
2033,CTSZ,,,,3.23672E-05,,"cilostazol, ethinylestradiol, flurbiprofen, imipramine, isosorbide, mephenytoin, oxaprozin, sulfasalazine, vinblastine"
2034,CTTNBP2,,,1.20118E-09,,,
2035,CTTNBP2NL,,,0.000160397,,,
2036,CTU1,,,,1.12824E-07,,
2037,CTU2,"HP:0002011, HP:0002060, HP:0002538, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0100547",8,,8.28561E-05,,
2038,CTXN1,,,1.2967E-07,,,
2039,CUL4A,,,,8.30946E-07,,
2040,CUL7,"HP:0002011, HP:0002143, HP:0002414, HP:0010301, HP:0012443, HP:0012639, HP:0100659, HP:0410043",8,,1.80491E-07,,
2041,CUX2,"HP:0002011, HP:0002363, HP:0006919, HP:0012443, HP:0012639, HP:0012759",6,5.69729E-08,,,
2042,CWC15,,,,1.3498E-06,,
2043,CWC25,,,,3.13926E-09,,
2044,CWC27,"HP:0001317, HP:0002011, HP:0002059, HP:0002060, HP:0002120, HP:0002538, HP:0002977, HP:0007367, HP:0007369, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",16,2.81478E-10,,,
2045,CWH43,,,,6.73413E-06,,
2046,CXADR,,,3.91153E-06,,"chlorpromazine, cyclosporin-a, dexamethasone, hydrocortisone, phenylbutazone, ribavirin, terbutaline, tianeptine",
2047,CXCL1,,,,5.34582E-07,,"alitretinoin, mitotane, phenylbutazone, phenytoin, ribavirin, sparfloxacin"
2048,CXCL10,,,,0.000277611,,"dichloroacetic-acid, genistein, ifosfamide, isosorbide, quercetin, thiotepa"
2049,CXCL11,,,,5.42568E-06,,methimazole
2050,CXCL12,,,,0.000473628,,"acetazolamide, cortisol, cyclosporin-a, diflunisal, flubendazole, flurbiprofen, haloperidol, hydrocortisone, isoreserpine, lonidamine, nimodipine, prostaglandin-e1, thiotepa, tolfenamic-acid, vidarabine, vinblastine"
2051,CXCL14,,,,0.000107943,,"acebutolol, acetazolamide, aspirin, beclometasone, chlorambucil, corynanthine, dacarbazine, diethylstilbestrol, dimethadione, diphenhydramine, domperidone, estradiol, ethotoin, etidronic-acid, etoposide, etretinate, fluorouracil, imipramine, lamotrigine, menadione, phensuximide, retinol, vidarabine, vinblastine"
2052,CXCL16,,,,8.33859E-05,,
2053,CXCL17,,,,6.27447E-06,,
2054,CXCL2,,,,2.37963E-07,,"beclometasone, ketorolac, TTNPB"
2055,CXCL3,,,,4.28716E-06,,"busulfan, ketorolac, phenytoin"
2056,CXCL6,,,,1.04085E-07,,"alitretinoin, mefenamic-acid, mitotane, phenytoin, sparfloxacin, tolmetin"
2057,CXCL9,,,,1.59329E-19,,"androstenedione, clomifene, dichloroacetic-acid, genistein, ifosfamide, isosorbide, metronidazole, primidone, selegiline, sparfloxacin"
2058,CXCR1,,,,0.000997926,,
2059,CXCR2,,,,0.000612506,,
2060,CXCR3,,,,2.72192E-06,,
2061,CXCR5,,,,1.56039E-06,,
2062,CXCR6,,,,6.86121E-06,,
2063,CXorf23,,,0.024856067,,,
2064,CXorf40A,,,,0.00056377,,
2065,CXorf40B,,,,0.000542021,,
2066,CXorf48,,,,3.1585E-08,,
2067,CXorf56,,,,1.51331E-06,,
2068,CXorf65,,,,9.75896E-09,,
2069,CXXC1,,,,1.27934E-06,,
2070,CXXC11,,,0.001818931,,,
2071,CYB561A3,,,,2.53656E-06,,
2072,CYB5A,"HP:0001272, HP:0001317, HP:0002011, HP:0002059, HP:0002060, HP:0002120, HP:0002283, HP:0002538, HP:0002977, HP:0006913, HP:0007112, HP:0007364, HP:0007367, HP:0007369, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012503, HP:0012639, HP:0012759, HP:0100547",22,,5.45021E-05,,"caffeine, carbamazepine, levisoprenaline, methimazole"
2073,CYB5D1,,,,1.6705E-05,,
2074,CYB5D2,,,0.005933388,,,
2075,CYB5R1,,,,1.65117E-08,,
2076,CYB5R2,,,,7.87733E-10,,
2077,CYB5R4,,,0.000331907,,,
2078,CYB5RL,,,,6.65169E-05,,
2079,CYBA,"HP:0002011, HP:0012639",2,,7.07537E-05,,"bupivacaine, tolfenamic-acid, vidarabine"
2080,CYBRD1,,,,3.58072E-05,,
2081,CYC1,,,,0.000752484,,
2082,CYFIP2,"HP:0001272, HP:0001273, HP:0001317, HP:0002011, HP:0002059, HP:0002060, HP:0002118, HP:0002500, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0011282, HP:0011283, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",19,0.000308616,,"corynanthine, diflorasone, sulfadiazine",
2083,CYGB,,,,7.36336E-05,,
2084,CYHR1,,,,0.000114544,,
2085,CYLC1,,,,1.64827E-05,,
2086,CYP11A1,"HP:0001273, HP:0002011, HP:0002060, HP:0002500, HP:0002977, HP:0007364, HP:0007370, HP:0012443, HP:0012503, HP:0012639, HP:0100547",11,,3.74846E-14,,
2087,CYP11B1,"HP:0002011, HP:0012443, HP:0012639, HP:0100659",4,,1.82767E-20,,
2088,CYP11B2,"HP:0002011, HP:0012443, HP:0012639, HP:0100659",4,,1.03178E-05,,
2089,CYP17A1,"HP:0002011, HP:0012443, HP:0012503, HP:0012639",4,,4.06124E-09,,
2090,CYP19A1,,,,5.38282E-08,,
2091,CYP1B1,,,,1.77237E-11,,"carbamazepine, chlorambucil, chlordiazepoxide, cyclosporin-a, diflunisal, ethinylestradiol, ethosuximide, ketorolac, methimazole, prednisolone, sulfasalazine, terbutaline, verapamil"
2092,CYP21A2,,,,9.0631E-15,,
2093,CYP24A1,HP:0012759,1,,0.000734747,,
2094,CYP27B1,HP:0012759,1,,0.00085154,,zonisamide
2095,CYP2B6,,,,2.76267E-05,,
2096,CYP2C18,,,,0.000132384,,
2097,CYP2C9,,,,7.15308E-07,,
2098,CYP2J2,,,,1.73471E-05,,
2099,CYP2U1,"HP:0001273, HP:0002011, HP:0002060, HP:0002079, HP:0002453, HP:0002500, HP:0002977, HP:0007364, HP:0007370, HP:0012443, HP:0012639, HP:0012759, HP:0100547",13,0.000161333,,,
2100,CYP2W1,,,,1.10321E-18,,
2101,CYP3A5,,,,5.22391E-10,,
2102,CYP3A7,,,,3.06998E-12,,
2103,CYP4A11,,,,0.000422943,,
2104,CYP4A22,,,,0.000647486,,
2105,CYP4B1,,,,5.15562E-11,,"chloramphenicol, cortisone, depomedrol, dimethadione, flecainide, fumonisin-b1, indometacin, isotretinoin, methotrexate, quinidine, warfarin"
2106,CYP4F11,,,,0.000316445,,
2107,CYP4F12,,,,7.6285E-12,,
2108,CYP4F3,,,,7.63945E-15,,"prednisolone, tolbutamide"
2109,CYP51A1,,,0.007600218,,dichloroacetic-acid,
2110,CYP7A1,,,,7.87082E-05,,
2111,CYP8B1,,,,1.71964E-06,,
2112,CYR61,,,,4.45322E-06,,
2113,CYS1,,,,3.52292E-08,,
2114,CYSLTR1,,,,0.000821367,,
2115,CYSTM1,,,,3.30971E-05,,
2116,CYTIP,,,,9.43934E-07,,"fluorouracil, sertaconazole, zidovudine"
2117,CYTL1,,,,2.89419E-05,,"clorgiline, cytarabine, fluorouracil, lidocaine, phensuximide, tolfenamic-acid"
2118,D2HGDH,"HP:0002011, HP:0002060, HP:0002118, HP:0002500, HP:0012443, HP:0012639, HP:0012759, HP:0030047, HP:0100547",9,,3.59349E-05,,
2119,DAAM1,,,0.010498064,,domperidone,
2120,DAB1,"HP:0001272, HP:0001317, HP:0002011, HP:0002334, HP:0006855, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0100275",10,3.48196E-06,,,
2121,DACH1,,,0.01928389,,"cortisol, decitabine, lithocholic-acid, mefenamic-acid, pseudoephedrine, sulfadiazine, thalidomide, tolfenamic-acid, TTNPB, zidovudine",
2122,DACT1,"HP:0001273, HP:0001317, HP:0002011, HP:0002060, HP:0002143, HP:0002414, HP:0002500, HP:0002977, HP:0007364, HP:0007370, HP:0010301, HP:0010651, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759, HP:0100547, HP:0410043",19,0.002684157,,,
2123,DACT2,,,,1.31764E-05,,
2124,DACT3,,,0.035351549,,,
2125,DAD1,,,,0.00020742,,valproic-acid
2126,DAGLA,,,0.04091821,,,
2127,DAK,,,,1.58628E-05,,
2128,DAND5,,,,8.65589E-05,,
2129,DAOA,,,,7.89566E-07,,
2130,DAPK2,,,,0.000645422,,
2131,DAPK3,,,,1.00884E-06,,
2132,DAPL1,,,,0.00020071,,
2133,DAPP1,,,,0.000124776,,
2134,DAXX,HP:0012639,1,,4.13748E-08,,
2135,DAZ1,,,,0.000326324,,
2136,DAZAP1,,,,4.85786E-09,,
2137,DAZAP2,,,,0.000171558,,chloramphenicol
2138,DBF4,,,,0.00078608,,
2139,DBH,,,,0.000223893,,
2140,DBN1,,,0.029289467,,,
2141,DBNDD1,,,0.002020259,,,
2142,DBP,,,,9.43774E-09,,
2143,DBT,"HP:0002011, HP:0002060, HP:0012443, HP:0012639, HP:0012759, HP:0100547",6,,0.000523131,,
2144,DCAF11,,,,6.8073E-07,,
2145,DCAF12,,,,0.000135415,,
2146,DCAF12L1,,,,5.5838E-05,,
2147,DCAF15,,,,4.99437E-07,,
2148,DCAF8,HP:0012639,1,,0.000147766,,
2149,DCAF8L2,,,,1.2295E-06,,
2150,DCC,"HP:0001273, HP:0002011, HP:0002060, HP:0002062, HP:0002118, HP:0002363, HP:0002492, HP:0002500, HP:0002977, HP:0007343, HP:0007361, HP:0007364, HP:0007370, HP:0010662, HP:0010663, HP:0011282, HP:0011283, HP:0012110, HP:0012443, HP:0012503, HP:0012639, HP:0012703, HP:0012759, HP:0025100, HP:0100547",25,8.86655E-08,,,
2151,DCLK1,,,8.64816E-08,,"cytarabine, levisoprenaline, propylthiouracil, pseudoephedrine",
2152,DCLK2,,,7.84295E-12,,,
2153,DCLK3,,,0.020847167,,,
2154,DCN,,,,0.000340333,,"cyclopamine, ethotoin, flurbiprofen, isoreserpine, methimazole, ochratoxin-a, thiotepa"
2155,DCP1A,,,,0.000111088,,
2156,DCP1B,,,0.017423602,,,
2157,DCPS,"HP:0001273, HP:0002011, HP:0002059, HP:0002060, HP:0002079, HP:0002500, HP:0002538, HP:0002539, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0007370, HP:0007375, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",19,,4.05027E-11,,
2158,DCST1,,,,7.4529E-05,,
2159,DCST2,,,,1.95755E-05,,
2160,DCT,,,,0.000904,,racephedrine
2161,DCTN6,,,,2.3906E-06,,
2162,DCTPP1,,,,0.000173983,,
2163,DCUN1D3,,,,1.17293E-09,,
2164,DCUN1D4,,,6.98901E-07,,"cytochalasin-b, ribavirin",
2165,DCX,"HP:0001273, HP:0002011, HP:0002060, HP:0002079, HP:0002118, HP:0002339, HP:0002500, HP:0002538, HP:0002977, HP:0007364, HP:0007370, HP:0010994, HP:0012443, HP:0012639, HP:0012759, HP:0012762, HP:0030047, HP:0100547, HP:0100659",19,9.90364E-17,,,
2166,DCXR,,,,5.88529E-05,,"cyproterone, procarbazine"
2167,DDA1,,,,0.000170676,,
2168,DDAH1,,,0.011162418,,"CD-437, cortisol, cycloheximide, estradiol, naproxen, vidarabine",
2169,DDB1,"HP:0001273, HP:0002011, HP:0002060, HP:0002500, HP:0006989, HP:0012443, HP:0012639, HP:0012759, HP:0100547",9,,3.83258E-11,,
2170,DDB2,"HP:0002011, HP:0002059, HP:0002060, HP:0002120, HP:0002538, HP:0002977, HP:0007364, HP:0007367, HP:0007369, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0100547",14,,0.000801827,,chlorambucil
2171,DDC,"HP:0002011, HP:0012639, HP:0012759",3,,5.76838E-06,,
2172,DDI2,,,,0.000318927,,
2173,DDIT3,,,,1.61068E-08,,"cyclosporin-a, hexachlorophene"
2174,DDIT4,,,,6.98696E-05,,"cyclosporin-a, ketorolac"
2175,DDIT4L,,,,5.21306E-08,,
2176,DDO,,,,5.59769E-07,,
2177,DDOST,"HP:0002011, HP:0012639, HP:0012759",3,,1.72139E-06,,
2178,DDR1,,,0.010342217,,,
2179,DDT,,,,1.47946E-09,,
2180,DDTL,,,,9.18362E-09,,
2181,DDX11,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",8,,1.96873E-06,,
2182,DDX18,,,,0.000122588,,
2183,DDX21,,,,8.37168E-05,,"alpha-estradiol, flurbiprofen, vincristine"
2184,DDX23,,,,7.15762E-06,,
2185,DDX24,,,,3.33536E-05,,
2186,DDX25,,,0.000647493,,,
2187,DDX26B,,,0.028275022,,,
2188,DDX27,,,,9.22754E-12,,
2189,DDX28,,,,1.0335E-08,,
2190,DDX39A,,,,5.82183E-08,,
2191,DDX39B,,,,7.72086E-05,,
2192,DDX3X,"HP:0001273, HP:0002011, HP:0002060, HP:0002079, HP:0002118, HP:0002500, HP:0002538, HP:0002539, HP:0002977, HP:0006919, HP:0007364, HP:0007370, HP:0012443, HP:0012639, HP:0012759, HP:0100547",16,,8.79455E-05,,
2193,DDX41,,,,2.84287E-05,,
2194,DDX42,,,,9.51077E-08,,"ephedrine, ethosuximide, fumonisin-b1"
2195,DDX47,,,,3.91601E-05,,corynanthine
2196,DDX49,,,,0.000199142,,
2197,DDX5,,,,6.45788E-05,,
2198,DDX54,,,,5.04187E-08,,
2199,DDX55,,,,5.52856E-06,,
2200,DDX56,,,,1.33188E-05,,
2201,DECR1,,,,0.000168342,,
2202,DECR2,,,,3.30833E-06,,
2203,DEDD,,,,1.32052E-05,,
2204,DEDD2,,,,2.44486E-08,,
2205,DEF6,,,,0.000827902,,
2206,DEFA6,,,,8.5315E-06,,
2207,DEFB1,,,,5.95168E-07,,"cortisol, dexketoprofen, ochratoxin-a, perphenazine"
2208,DEFB110,,,,0.000620243,,
2209,DEFB121,,,,0.000181203,,
2210,DEFB124,,,,1.48004E-06,,
2211,DEFB133,,,,0.000722503,,
2212,DEK,,,,2.33627E-07,,
2213,DENND1A,,,0.018497921,,,
2214,DENND1C,,,,0.000738622,,
2215,DENND2D,,,,2.32809E-06,,
2216,DENND5A,"HP:0001317, HP:0001320, HP:0001321, HP:0002011, HP:0002060, HP:0002118, HP:0002334, HP:0002977, HP:0006817, HP:0007360, HP:0007364, HP:0010950, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759, HP:0100547",18,0.01148593,,indometacin,
2217,DENND5B,,,0.007616437,,,
2218,DEPDC1,,,,3.26667E-05,,
2219,DERL3,,,,0.000877632,,
2220,DES,HP:0012639,1,,9.70593E-21,,"ethinyl-estradiol, ethionamide, lynestrenol"
2221,DESI2,,,,0.000719537,,
2222,DEXI,,,,4.79403E-05,,
2223,DFFA,,,,0.000463347,,
2224,DFNA5,,,0.00123886,,,
2225,DGCR6L,,,,0.000564174,,
2226,DGCR8,"HP:0002011, HP:0002060, HP:0002977, HP:0006919, HP:0007364, HP:0012443, HP:0012639, HP:0012759, HP:0100547",9,,1.38836E-05,,
2227,DGKB,,,8.49717E-05,,,
2228,DGKG,,,0.021615258,,,
2229,DGKI,,,2.18518E-06,,,
